hour; t(sec); P1 (kW); Q1 (kvar); P2 (kW); Q2 (kvar); P3 (kW); Q3 (kvar); P4 (kW); Q4 (kvar);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;2700;-26.6655;-0.00100792;-26.6649;-0.00107583;-26.6651;-0.000557868;0;0;-79.9955;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;0;-26.6667;-9.32E-08;-26.6667;1.63E-06;-26.6667;-5.19E-07;0;0;-80.0001;;;;;;;;;;;;;;;;;;-8960;;;520;5560;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;900;-26.6667;2.13E-09;-26.6667;-2.77E-09;-26.6667;6.67E-10;0;0;-80.0001;;;;;;;;;;;;;;;;;;;;;6080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1800;0;0;0;0;0;0;0;0;0;;;caso 3;loadshape;200;200;80;0;0;40;-80;-120;-40;-480;-1080;-1160;-1320;-1360;-1360;-1240;-720;40;880;1160;1000;1040;840;600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;2700;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;0;0;0;0;0;0;0;0;0;0;;;;;En carregado;;-8960;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;900;0;0;0;0;0;0;0;0;0;;;;;Ener descharge;;6080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1800;0;0;0;0;0;0;0;0;0;;;;;;;-2880;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;2700;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;0;0;0;0;0;0;0;0;0;0;;;;monitor ;600.003;600;200.0001;200.0001;200.0001;199.9999;200.0001;200.0001;200.0001;200.0001;79.9955;80.0001;80.0001;0;0;0;0;0;0;0;0;39.9996;39.9999;39.9999;39.9999;39.9999;-79.9995;-80.0001;-80.0001;-120.0008;-120;-120;-120;-120;-40.0002;-39.9999;-39.9999;-479.999;-480;-480;-480;-480;-1080.004;-1080;-1080;-1159.992;-1160.001;-1160.001;-1160.001;-1160.001;-1320.005;-1320;-1320;-1359.992;-1359.999;-1359.999;-1359.999;-1359.999;-1359.973;-1359.999;-1359.999;-1240.005;-1239.999;-1239.999;-1239.999;-1239.999;-720.001;-720;-720;40;39.9999;39.9999;39.9999;39.9999;880.001;879.999;879.999;1159.996;1160.001;1160.001;1160.001;1160.001;1000.015;999.999;999.999;1040.02;1040.001;1040.001;1040.001;1040.001;839.997;840;840;600.001;600;600
5;900;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1800;-13.3331;0.000292621;-13.3334;-7.71E-05;-13.3331;-9.61E-05;0;0;-39.9996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;2700;-13.3333;-4.50E-07;-13.3333;3.88E-07;-13.3333;1.90E-07;0;0;-39.9999;;;;;En carregado;;-35599.9655;;;759.999825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;0;-13.3333;1.20E-09;-13.3333;1.13E-09;-13.3333;-1.98E-09;0;0;-39.9999;;;;;Em descharge;;24400.0321;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;900;-13.3333;-1.62E-12;-13.3333;3.24E-13;-13.3333;3.04E-12;0;0;-39.9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;1800;-13.3333;3.01E-14;-13.3333;-5.91E-14;-13.3333;-5.18E-14;0;0;-39.9999;;;;;;;-2799.98335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;2700;26.6666;0.000701461;26.6659;-0.000430468;26.667;-0.000370852;0;0;79.9995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;0;26.6667;-2.25E-06;26.6667;-1.36E-05;26.6667;1.38E-05;0;0;80.0001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;900;26.6667;-4.19E-07;26.6667;1.99E-07;26.6667;1.93E-07;0;0;80.0001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;1800;39.9995;-0.000874769;40.0014;0.000496814;39.9999;0.00116884;0;0;120.0008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;2700;40;-1.34E-05;40;2.64E-05;40;-1.11E-05;0;0;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;0;40;5.22E-07;40;9.40E-08;40;-5.72E-07;0;0;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;900;40;1.13E-08;40;-1.36E-08;40;2.95E-09;0;0;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1800;40;-2.15E-10;40;-1.42E-10;40;3.37E-10;0;0;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;2700;13.3334;8.97E-05;13.3333;-1.96E-05;13.3335;5.75E-07;0;0;40.0002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
