hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
14, 2700.00000, 0, 0, 0, 0, 0, 0, 0, 0
15, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
15, 900.00000, 0, 0, 0, 0, 0, 0, 0, 0
15, 1800.00000, -233.324, 0.00281035, -233.333, 0.00325344, -233.333, -0.00235155, 0, 0
15, 2700.00000, -233.333, 3.85256E-005, -233.333, 2.16325E-005, -233.333, -3.58098E-005, 0, 0
16, 0.00000, -233.333, 4.98103E-007, -233.333, 1.15853E-007, -233.333, -4.24517E-007, 0, 0
16, 900.00000, -233.333, 5.78337E-009, -233.333, 2.72266E-010, -233.333, -4.52205E-009, 0, 0
16, 1800.00000, -233.333, 6.27224E-011, -233.333, -4.77303E-012, -233.333, -4.52419E-011, 0, 0
16, 2700.00000, 0, 0, 0, 0, 0, 0, 0, 0
17, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
17, 900.00000, 0, 0, 0, 0, 0, 0, 0, 0
17, 1800.00000, -233.324, 0.00516223, -233.339, 0.00172861, -233.333, -0.00421881, 0, 0
17, 2700.00000, -233.333, 5.76767E-005, -233.333, 4.39728E-006, -233.333, -4.2586E-005, 0, 0
18, 0.00000, -233.333, 6.0565E-007, -233.333, -6.11091E-008, -233.333, -3.88987E-007, 0, 0
18, 900.00000, -233.333, 5.81441E-009, -233.333, -1.45521E-009, -233.333, -3.17236E-009, 0, 0
18, 1800.00000, -233.333, 5.15684E-011, -233.333, -2.08529E-011, -233.333, -2.21771E-011, 0, 0
18, 2700.00000, 0, 0, 0, 0, 0, 0, 0, 0
19, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
19, 900.00000, 0, 0, 0, 0, 0, 0, 0, 0
19, 1800.00000, -233.332, 0.00132511, -233.334, 0.00033896, -233.333, -0.00071582, 0, 0
19, 2700.00000, -233.333, 1.19492E-005, -233.333, 1.31511E-006, -233.333, -8.35475E-006, 0, 0
20, 0.00000, -233.333, 1.28081E-007, -233.333, -1.87395E-008, -233.333, -7.02631E-008, 0, 0
20, 900.00000, -233.333, 1.18152E-009, -233.333, -4.48374E-010, -233.333, -4.28452E-010, 0, 0
20, 1800.00000, -233.333, 8.77844E-012, -233.333, -5.15138E-012, -233.333, -8.87667E-013, 0, 0
20, 2700.00000, 0, 0, 0, 0, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
21, 900.00000, 0, 0, 0, 0, 0, 0, 0, 0
21, 1800.00000, -233.327, 0.00304885, -233.333, 0.00167059, -233.331, -0.000694336, 0, 0
21, 2700.00000, -233.333, 2.89333E-005, -233.333, 5.46751E-006, -233.333, -1.69099E-005, 0, 0
22, 0.00000, -233.333, 2.74935E-007, -233.333, -2.2294E-008, -233.333, -1.50599E-007, 0, 0
22, 900.00000, -233.333, 2.3378E-009, -233.333, -7.3087E-010, -233.333, -9.4116E-010, 0, 0
22, 1800.00000, -233.333, 1.68311E-011, -233.333, -9.57516E-012, -233.333, -3.57977E-012, 0, 0
22, 2700.00000, 0, 0, 0, 0, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
23, 900.00000, 0, 0, 0, 0, 0, 0, 0, 0
23, 1800.00000, -233.328, 0.00270199, -233.337, 0.00127455, -233.333, -0.00254158, 0, 0
23, 2700.00000, -233.333, 1.97774E-005, -233.333, 2.67288E-006, -233.333, -1.5202E-005, 0, 0
24, 0.00000, -233.333, 1.28862E-007, -233.333, -9.95334E-009, -233.333, -8.00352E-008, 0, 0
