hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
17, 2700.00000, 1093.64, 508.065, 629.231, 293.883, 839.418, 346.951
18, 0.00000, 1093.64, 508.065, 629.231, 293.883, 839.418, 346.951
18, 900.00000, 1093.64, 508.065, 629.231, 293.883, 839.418, 346.951
18, 1800.00000, 1093.64, 508.065, 629.231, 293.883, 839.418, 346.951
18, 2700.00000, 1239.94, 506.138, 779.344, 289.183, 988.284, 342.681
19, 0.00000, 1239.93, 506.131, 779.345, 289.182, 988.308, 342.701
19, 900.00000, 1239.93, 506.131, 779.345, 289.182, 988.308, 342.701
19, 1800.00000, 1197.72, 483.561, 748.634, 273.782, 952.172, 325.497
19, 2700.00000, 1197.71, 483.546, 748.637, 273.784, 952.165, 325.492
20, 0.00000, 1197.71, 483.546, 748.637, 273.784, 952.164, 325.492
20, 900.00000, 1197.71, 483.546, 748.637, 273.784, 952.164, 325.492
20, 1800.00000, 1197.71, 483.546, 748.637, 273.784, 952.164, 325.492
20, 2700.00000, 1118.51, 446.219, 688.451, 248.502, 883.096, 297.219
21, 0.00000, 1118.53, 446.227, 688.449, 248.5, 883.096, 297.219
21, 900.00000, 1118.53, 446.227, 688.449, 248.5, 883.096, 297.219
21, 1800.00000, 1123.67, 446.763, 693.472, 248.81, 888.196, 297.582
21, 2700.00000, 1123.69, 446.774, 693.475, 248.813, 888.202, 297.586
22, 0.00000, 1123.69, 446.774, 693.475, 248.813, 888.202, 297.586
22, 900.00000, 1123.69, 446.774, 693.475, 248.813, 888.202, 297.587
22, 1800.00000, 1123.69, 446.774, 693.475, 248.813, 888.202, 297.587
22, 2700.00000, 1121.87, 409.638, 713.411, 222.393, 898.175, 268.391
23, 0.00000, 1207.36, 419.409, 796.702, 228.336, 982.663, 275.233
23, 900.00000, 1207.39, 419.427, 796.699, 228.334, 982.673, 275.238
23, 1800.00000, 1101.39, 354.582, 728.434, 182.094, 897.635, 223.65
23, 2700.00000, 1101.43, 354.607, 728.414, 182.082, 897.641, 223.653
24, 0.00000, 1101.43, 354.607, 728.413, 182.082, 897.641, 223.653
24, 900.00000, 1101.43, 354.607, 728.413, 182.082, 897.641, 223.653
24, 1800.00000, 1101.43, 354.607, 728.413, 182.082, 897.641, 223.653
24, 2700.00000, 993.741, 285.529, 660.34, 135.174, 811.071, 170.91
25, 0.00000, 993.766, 285.539, 660.344, 135.174, 811.08, 170.913
25, 900.00000, 993.766, 285.539, 660.344, 135.174, 811.08, 170.913
25, 1800.00000, 812.967, 231.216, 508.11, 98.7574, 645.521, 130.043
25, 2700.00000, 907.882, 239.59, 601.223, 103.961, 739.621, 135.972
26, 0.00000, 907.895, 239.598, 601.221, 103.96, 739.626, 135.975
26, 900.00000, 907.895, 239.598, 601.221, 103.96, 739.626, 135.975
26, 1800.00000, 907.895, 239.598, 601.221, 103.96, 739.626, 135.975
26, 2700.00000, 883.696, 224.515, 585.206, 93.3477, 719.844, 124.222
27, 0.00000, 883.62, 224.472, 585.203, 93.3451, 719.8, 124.197
27, 900.00000, 883.62, 224.471, 585.203, 93.3452, 719.8, 124.197
27, 1800.00000, 847.135, 201.826, 561.119, 77.4268, 690.009, 106.546
27, 2700.00000, 847.129, 201.823, 561.121, 77.4279, 690.004, 106.543
28, 0.00000, 847.129, 201.823, 561.121, 77.4279, 690.004, 106.543
28, 900.00000, 847.129, 201.823, 561.121, 77.4279, 690.004, 106.543
28, 1800.00000, 847.129, 201.823, 561.121, 77.4279, 690.004, 106.543
28, 2700.00000, 842.803, 199.144, 558.258, 75.5386, 686.47, 104.452
29, 0.00000, 842.79, 199.137, 558.258, 75.5383, 686.462, 104.448
29, 900.00000, 842.79, 199.137, 558.258, 75.5383, 686.462, 104.448
29, 1800.00000, 874.708, 218.93, 579.327, 89.4569, 712.522, 119.88
29, 2700.00000, 874.714, 218.934, 579.325, 89.4559, 712.526, 119.883
30, 0.00000, 874.714, 218.934, 579.325, 89.4559, 712.526, 119.883
30, 900.00000, 874.714, 218.934, 579.325, 89.4559, 712.526, 119.883
30, 1800.00000, 874.714, 218.934, 579.325, 89.4559, 712.526, 119.883
30, 2700.00000, 895.166, 262.357, 574.346, 120.319, 719.197, 154.031
31, 0.00000, 895.173, 262.361, 574.343, 120.318, 719.204, 154.035
31, 900.00000, 895.173, 262.361, 574.343, 120.318, 719.204, 154.035
31, 1800.00000, 962.157, 338.024, 598.461, 173.7, 762.998, 213.184
31, 2700.00000, 962.155, 338.023, 598.463, 173.701, 762.98, 213.172
32, 0.00000, 962.155, 338.023, 598.463, 173.701, 762.98, 213.172
32, 900.00000, 962.155, 338.023, 598.463, 173.701, 762.98, 213.172
32, 1800.00000, 962.155, 338.023, 598.463, 173.701, 762.98, 213.172
32, 2700.00000, 1028.26, 406.527, 623.358, 223.576, 806.289, 268.508
33, 0.00000, 1028.23, 406.501, 623.371, 223.587, 806.286, 268.506
33, 900.00000, 1028.23, 406.5, 623.371, 223.587, 806.286, 268.506
33, 1800.00000, 978.701, 439.059, 553.332, 247.715, 745.236, 294.869
33, 2700.00000, 978.692, 439.051, 553.333, 247.717, 745.235, 294.87
34, 0.00000, 978.691, 439.051, 553.333, 247.717, 745.235, 294.87
34, 900.00000, 978.691, 439.051, 553.333, 247.717, 745.235, 294.87
34, 1800.00000, 978.691, 439.051, 553.333, 247.717, 745.235, 294.87
34, 2700.00000, 889.927, 478.659, 440.052, 278.274, 642.395, 327.928
35, 0.00000, 889.922, 478.669, 440.032, 278.261, 642.415, 327.975
35, 900.00000, 889.921, 478.669, 440.031, 278.261, 642.415, 327.975
35, 1800.00000, 917.457, 519.194, 445.394, 307.166, 657.939, 359.908
35, 2700.00000, 917.465, 519.203, 445.393, 307.164, 657.918, 359.89
36, 0.00000, 917.465, 519.203, 445.393, 307.164, 657.918, 359.89
